Generated On,Energy Yield (kWh),Irradiance(W/m²,Temp ( C ),Rain (mm),Wind (kn),Income,Wind (km/hr),Dust (ug/m3)
"2019-08-30	",628.62,7743,24.8,10.6,8,2514.48,14.816,7
"2019-08-31	",1092.26,13178,25.4,4.7,4,4369.04,7.408,9
"2019-09-01	",1173.17,15102,25.9,0.2,11,4692.68,20.372,8
"2019-09-02	",923.19,11592,26.7,0,9,3692.76,16.668,9
"2019-09-03	",968.78,12570,27.1,0,15,3875.12,27.78,16
"2019-09-04	",740.38,9427,27.1,0.9,18,2961.52,33.336,15
"2019-09-05	",1319.71,16171,27.7,0.1,13,5278.84,24.076,16
"2019-09-06	",1171.82,15591,27.7,0,8,4687.28,14.816,21
"2019-09-07	",1687.82,23417,29,0,13,6751.28,24.076,21
"2019-09-08	",1327.59,17899,27.5,30.3,17,5310.36,31.484,17
"2019-09-09	",1115.78,15583,26.4,15.8,13,4463.12,24.076,12
"2019-09-10	",1768.11,23687,27.5,1.6,10,7072.44,18.52,12
"2019-09-11	",1413.07,18740,27.1,9,18,5652.28,33.336,12
"2019-09-12	",1512.75,20788,27.9,0.6,18,6051,33.336,13
"2019-09-13	",1512.95,19323,25.4,0.2,11,6051.8,20.372,14
"2019-09-14	",752.32,9632,24.6,14,23,3009.28,42.596 ,10
"2019-09-15	",984,12266,25,5.9,10,3936,18.52,7
"2019-09-16	",1028.49,12533,25.8,0.8,8,4113.96,14.816,7
"2019-09-17	",773.65,9472,24.9,5.7,12,3094.6,22.224,9
"2019-09-18	",1320.03,16647,26.9,0,12,5280.12,22.224,8
"2019-09-19	",1518.08,20518,27.1,0,25,6072.32,46.3,8
"2019-09-20	",1426.96,19323,27.7,0,15,5707.84,27.78,15
"2019-09-21	",1623.78,21837,27,0,19,6495.12,35.18,15
"2019-09-22	",963.4,12138,26.2,22.4,13,3853.6,24.076,19
"2019-09-23	",1160.44,14728,26.1,0.5,9,4641.76,16.668,20
"2019-09-24	",1373.8,17758,26.9,8.3,14,5495.2,25.928,22
"2019-09-25	",907.4,11533,25.9,18,17,3629.6,31.484,21
"2019-09-26	",1262.56,16406,27.2,1.3,13,5050.24,24.076,20
"2019-09-27	",1767.99,23504,27.6,0,14,7071.96,25.928,17
"2019-09-28	",918.32,11710,26,9.9,13,3673.28,24.076,11
"2019-09-29	",1706.2,21133,26.9,0,13,6824.8,24.076,12
"2019-09-30	",1544.66,22175,27.4,0,12,6178.64,22.224,18
"2019-10-01	",1602.58,21956,27,4.5,12,6410.32,22.224,14
"2019-10-02	",1434.51,19845,27,0,12,5738.04,22.224,17
"2019-10-03	",1338.04,19276,26.7,0,8,5352.16,14.816,16
"2019-10-04	",1585.88,21384,27.4,49.1,8,6343.52,14.816,16
"2019-10-05	",1063.09,15522,26.8,1.8,13,4252.36,24.076,10
"2019-10-06	",1139.48,15049,26.6,13.9,10,4557.92,18.52,13
"2019-10-07	",1254.07,16826,26.7,0,8,5016.28,14.816,12
"2019-10-08	",1533.41,20593,27.2,0,11,6133.64,20.372,11
"2019-10-09	",1386.22,19596,27.1,0,8,5544.88,14.816,15
"2019-10-11	",1480.07,19240,27.6,0,9,5920.28,16.668,16
"2019-10-12	",1609.68,21547,28,0,8,6438.72,14.816,21
"2019-10-13	",1294.42,16229,26.8,0,15,5177.68,27.78,17
"2019-10-14	",597.83,7735,25.2,1.3,6,2391.32,11.112,13
"2019-10-15	",1040.32,13542,26.3,0.8,7,4161.28, 12.964 ,15
"2019-10-16	",581.88,7108,26.2,8.3,8,2327.52,14.816,13
"2019-10-17	",865.96,10291,25.2,24.3,9,3463.84,16.668,11
"2019-10-18	",572.09,7226,25.3,9.7,6,2288.36,11.112,10
"2019-10-19	",645.32,7957,25.4,10.7,14,2581.28,25.928,7
"2019-10-20	",777.02,9490,26.1,73.7,22,3108.08,40.744,6
"2019-10-21	",749.41,9536,25.2,27.7,17,2997.64,31.484,7
"2019-10-22	",1177.53,15296,26.9,0,9,4710.12,16.668,12
"2019-10-23	",1147.61,14691,27.7,0,9,4590.44,16.668,12
"2019-10-24	",1178.68,16587,27.4,0.4,10,4714.72,18.52,11
"2019-10-25	",1245.44,17666,27.3,0.6,6,4981.76,11.112,10
"2019-10-26	",1162.52,15051,27.2,0,12,4650.08,22.224,14
"2019-10-27	",1331.87,18345,27,2.2,16,5327.48,29.632,17
"2019-10-28	",1340.21,16388,27,0,6,5360.84,11.112,15
"2019-10-29	",1471.78,20678,27.8,0,9,5887.12,16.668,13
"2019-10-30	",1288.16,16797,27.4,0.5,10,5152.64,18.52,14
"2019-10-31	",1060.47,15274,27.3,2.3,10,4241.88,18.52,16
"2019-11-01	",1488.99,18064,27.8,0,10,5955.96,18.52,23
"2019-11-02	",1104.24,13757,26.5,7.5,11,4416.96,20.372,10
"2019-11-03	",1372.82,17578,26.5,0,12,5491.28,22.224,11
"2019-11-04	",971.37,13155,26.2,8.1,15,3885.48,27.78,11
"2019-11-05	",1107.56,14515,26.5,21,12,4430.24,22.224,9
"2019-11-06	",1192.06,15609,25.7,15.8,19,4768.24,35.18,9
"2019-11-07	",1194.9,15079,26.1,18.6,10,4779.6,18.52,10
"2019-11-08	",1485.26,19717,26.3,28.1,15,5941.04,27.78,9
"2019-11-09	",1372.14,17408,26.8,14.5,10,5488.56,18.52,9
"2019-11-10	",898.83,10994,25.9,1.7,6,3595.32,11.112,17
"2019-11-11	",1565.54,20508,25.8,0,11,6262.16,20.372,35
"2019-11-12	",1634.57,21611,26.3,0,8,6538.28,14.816,40
"2019-11-13	",1625.98,22152,26.8,0,10,6503.92,18.52,37
"2019-11-14	",1348.97,17279,27.2,0,14,5395.88,25.928,30
"2019-11-15	",951.04,12168,26.8,9.3,16,3804.16,29.632,20
"2019-11-16	",1600.92,19629,27,0,12,6403.68,22.224,18
"2019-11-17	",1351.31,18274,27,0,10,5405.24,18.52,22
"2019-11-18	",1395.35,18586,27.5,0,13,5581.4,24.076,20
"2019-11-20	",717.04,3963,24.6,18.9,19,2868.16,35.18,10
"2019-11-21	",1041.86,12990,25.4,0.2,10,4167.44,18.52,13
"2019-11-22	",1461.83,17631,26.6,0,12,5847.32,22.224,15
"2019-11-23	",1577.76,20172,27.2,0,11,6311.04,20.372,15
"2019-11-24	",1650.23,21610,26.4,0,10,6600.92,18.52,15
